Respondent,Professional,ProgramHobby,Country,University,EmploymentStatus,FormalEducation,MajorUndergrad,YearsCodedJob,DeveloperType,NonDeveloperType,CareerSatisfaction,JobSatisfaction,ProblemSolving,LearningNewTech,JobSecurity,DiversityImportant,SeriousWork,WorkPayCare,ChallengeMyself,LastNewJob,ImportantBenefits,JobProfile,LearnedHiring,Overpaid,EducationImportant,EducationTypes,WorkStart,HaveWorkedLanguage,WantWorkLanguage,HaveWorkedDatabase,WantWorkDatabase,HaveWorkedPlatform,WantWorkPlatform,IDE,AuditoryEnvironment,Gender,HighestEducationParents,Salary,ExpectedSalary,Assess_Scoring
27,Professional developer,No,India,No,Employed full-time,Bachelor's degree,Computer science or software engineering,5 to 10 years,Web developer; Mobile developer,,5.0,6.0,,,,,,,,Between 2 and 4 years ago,Stock options; Annual bonus; Vacation/days off; Equipment; Meals,LinkedIn,I visited the company's Web site and found a job listing there,,,,10:00 AM,Java; JavaScript; Objective-C; Python; Swift,Go; Java; JavaScript; R; Swift,MongoDB; MySQL,MongoDB; SQL Server,,Amazon Web Services (AWS),Sublime Text; Android Studio; IntelliJ; Xcode,Keep the room absolutely quiet,,,63120.60854554837,,28.0
62,Professional developer,"Yes, I program as a hobby",India,No,Employed full-time,Bachelor's degree,Computer science or software engineering,1 to 5 years,Web developer,,5.0,5.0,Agree,Agree,Strongly agree,Agree,Strongly agree,Disagree,Somewhat agree,,,LinkedIn; Naukri,A career fair or on-campus recruiting event,Greatly underpaid,Important,Part-time/evening course; On-the-job training; Self-taught,10:00 AM,C#; JavaScript; SQL,Java; Objective-C,SQL Server,Oracle; SQLite,,Android; iOS,Visual Studio,Turn on some music,Male,A bachelor's degree,6636.323594,,
67,Professional developer,No,India,No,Employed full-time,Bachelor's degree,Computer science or software engineering,5 to 10 years,Mobile developer; Graphics programming; Desktop applications developer,,7.0,8.0,,,,,,,,Not applicable/ never,Stock options; Health benefits; Professional development sponsorship; Education sponsorship; Remote options,LinkedIn; Naukri,,,Very important,,1:00 PM,C++; C#; Objective-C,C++; C#; Python,,,Android; iOS; Windows Phone,Windows Phone,Notepad++; Android Studio; Visual Studio; Xcode,Put on a movie or TV show,Male,A bachelor's degree,66454.53546474077,,24.0
95,Professional developer,"Yes, both",India,"Yes, full-time","Not employed, and not looking for work",Secondary school,,1 to 5 years,Web developer; Desktop applications developer; Database administrator,,7.0,,Agree,Agree,Agree,Somewhat agree,Strongly agree,Strongly disagree,Strongly agree,Not applicable/ never,Annual bonus; Private office; Professional development sponsorship; Education sponsorship; Meals,,,,,,10:00 AM,C; C#; SQL,JavaScript; R,SQL Server; SQLite,Redis; MySQL; PostgreSQL,WordPress; Microsoft Azure,Android; Windows Desktop; Linux Desktop; Serverless; Microsoft Azure,Visual Studio; Visual Studio Code,Keep the room absolutely quiet,Male,High school,34152.73776106599,,30.5
108,Professional developer,"Yes, I program as a hobby",India,No,Employed full-time,Master's degree,A natural science,Less than a year,Desktop applications developer,,7.0,7.0,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Less than a year ago,Annual bonus; Health benefits; Remote options; Child/elder care,,,,Somewhat important,Self-taught,7:00 AM,C; Python,C#; Common Lisp; R; Rust; SQL,,SQL Server; MySQL; SQLite,,Android; iOS,Vim,Put on a movie or TV show,Male,A bachelor's degree,33298.75204458006,,25.0
113,Professional developer,No,India,No,Employed full-time,Bachelor's degree,A non-computer-focused engineering discipline,1 to 5 years,Web developer,,8.0,7.0,Agree,Somewhat agree,Disagree,Agree,Somewhat agree,Agree,Somewhat agree,Less than a year ago,Vacation/days off; Charitable match; Expected work hours; Remote options,LinkedIn; Naukri,An external recruiter or headhunter,,Very important,On-the-job training; Self-taught,2:00 PM,Java; SQL,Python; Scala,MySQL,MongoDB,Windows Desktop; Linux Desktop,Android; Amazon Web Services (AWS),Notepad++; Eclipse,Keep the room absolutely quiet,Male,A bachelor's degree,44545.600362656354,,26.5
134,Professional developer,"Yes, both",India,No,Employed full-time,Bachelor's degree,Computer science or software engineering,Less than a year,Web developer,,6.0,5.0,Strongly agree,Strongly agree,Agree,Agree,Strongly agree,Disagree,Strongly agree,Less than a year ago,Health benefits; Equipment; Professional development sponsorship; Education sponsorship; Meals,LinkedIn; Other,"A friend, family member, or former colleague told me",Neither underpaid nor overpaid,,,11:00 AM,C++; Java; JavaScript; Matlab; Objective-C; Python; SQL,Dart; Go; Groovy; Java; Python; R; SQL,Cassandra; Redis; MySQL,Cassandra; Redis; MySQL,Amazon Web Services (AWS),Android; iOS; Amazon Web Services (AWS),Sublime Text; IPython / Jupyter,Keep the room absolutely quiet,Male,A bachelor's degree,14682.13185,,30.0
138,Professional developer,"Yes, both",India,No,Employed full-time,Bachelor's degree,Computer programming or Web development,1 to 5 years,Web developer; Database administrator,,10.0,10.0,,,,,,,,,,,,,Very important,Coding competition; Hackathon; Open source contributions,,,,,,,,,,,,50307.65896485172,,
165,Professional developer,"Yes, both",India,No,Employed full-time,Bachelor's degree,Something else,5 to 10 years,Web developer,,6.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,52440.94312624926,,
179,Student,"Yes, I program as a hobby",India,"Yes, full-time","Independent contractor, freelancer, or self-employed",Bachelor's degree,Computer engineering or electrical/electronics engineering,,,,,,Agree,Agree,Disagree,Somewhat agree,Somewhat agree,Disagree,Agree,,,,,,,Part-time/evening course; On-the-job training; Self-taught; Coding competition; Hackathon,Noon,C; Java; JavaScript; PHP; Python,Assembly; C; C++; C#; CoffeeScript; Elixir; Go; JavaScript; PHP; Python; R; Ruby; Scala; SQL; TypeScript,MySQL,MongoDB; SQL Server; MySQL; PostgreSQL; SQLite,Windows Desktop; Linux Desktop; Arduino; Raspberry Pi,Linux Desktop; Arduino; Raspberry Pi; Amazon Web Services (AWS); Microsoft Azure,Atom; Notepad++; Sublime Text; Vim; Eclipse; IntelliJ; Visual Studio,Keep the room absolutely quiet,Male,A bachelor's degree,,7341.065923,
